Fish ID	Collection Date	Year	Location	Period	TL (mm)	Otolith D (um)	Peak Number	peak time 	"peak quality (excellent, good, poor, terrible, unusable)"	3core	Mg	Mn	Fe	Cu	Sr	Cd	Ba	Sn	Pb	U
NCPD 086	3/8/01	2001	NC	Mid	15	155	1	0.71	excellent		0.002529842	0.024027829	0.000062783	0.000111458	3.212573505	0.000001053	0.007933591	0.000402862	0.000000000	0.000000632
NCPD 081	3/8/01	2001	NC	Mid	16	171	2	0.80	excellent		0.024057024	0.028270483	0.000072203	0.000233363	2.974858253	0.000000000	0.005840862	0.000358214	0.000000360	0.000000000
NCPD 082	3/8/01	2001	NC	Mid	17	159	2	0.81	excellent		0.004947997	0.007751368	0.000077175	0.000270860	3.094959428	0.000000587	0.007978553	0.000367980	0.000000000	0.000000000
NCPD 087	3/8/01	2001	NC	Mid	17	140	1	0.26	excellent		0.002724352	0.014486309	0.000140969	0.000494741	3.184659056	0.000002330	0.006324699	0.000460294	0.000000259	0.000000000
NCPD 088	3/8/01	2001	NC	Mid	17	172	1	0.73	excellent		0.004304956	0.024150840	0.000039867	0.000273540	2.584908124	0.000000004	0.005020555	0.000368311	0.000000359	0.000000000
NCPD 089	3/8/01	2001	NC	Mid	18	212	1	0.85	excellent		0.007995907	0.030137154	0.000134114	0.000362921	3.347976960	0.000000000	0.006352624	0.000447380	0.000000000	0.000000000
NCPD 090	3/14/01	2001	NC	Mid	16	190	1	0.67	excellent		0.002547524	0.042471212	0.000006726	0.000220262	2.869269673	0.000004245	0.004858088	0.000412599	0.000000821	0.000000000
NCPD 091	3/14/01	2001	NC	Mid	16	246	1	0.73	excellent		0.002578386	0.028920391	0.000024734	0.000138508	2.910256800	0.000005809	0.005179654	0.000367761	0.000000000	0.000000000
NCPD 093	3/14/01	2001	NC	Mid	17	182	1	0.31	excellent		0.002002176	0.014570975	0.000113456	0.000185043	2.915888742	0.000000000	0.007079852	0.000347363	0.000000000	0.000000291
NCPD 092	3/14/01	2001	NC	Mid	18	192	2	0.77	good		0.001759676	0.019194449	0.000008867	0.000113647	3.229999120	0.000001608	0.007652708	0.000381154	0.000000439	0.000000439
NCPD 103	2/27/08	2008	NC	Late	14	171	1	0.27	good		0.057666420	0.011024672	0.000021127	0.000356381	3.478697882	0.000009101	0.006076773	0.000401361	0.000000337	0.000000337
NCPD 106	2/27/08	2008	NC	Late	15	195	1	0.94	good		0.021814471	0.004766812	0.000046555	0.000059757	2.440897846	0.000010594	0.004463862	0.000426761	0.000000993	0.000000000
NCPD 111	3/5/08	2008	NC	Late	16	155	1	0.30	good		0.002305329	0.016765625	0.000111997	0.000202370	2.999263072	0.000000000	0.005966559	0.000383239	0.000000248	0.000000248
NCPD 107	3/5/08	2008	NC	Late	17	154	1	0.79	good		0.005869633	0.011440051	0.000099486	0.000188267	2.808508016	0.000001250	0.003852499	0.000506598	0.000000682	0.000000000
NCPD 108	3/5/08	2008	NC	Late	17	172	2	0.71	good		0.001799995	0.015351258	0.000145825	0.000103889	3.411228346	0.000000000	0.007503093	0.000471812	0.000001224	0.000000000
NCPD 109	3/5/08	2008	NC	Late	17	203	1	0.77	excellent		0.003083451	0.025674785	0.000030753	0.000267419	3.459698877	0.000000000	0.007629382	0.000416001	0.000000493	0.000000000
NCPD 112	2/26/09	2009	NC	Late	16	168	1	0.73	excellent		0.015381009	0.026118059	0.000004203	0.000212396	3.402963477	0.000003612	0.006902125	0.000362064	0.000000350	0.000000000
NCPD 119	2/26/09	2009	NC	Late	16	159	1	0.69	excellent		0.001995254	0.028930257	0.000100300	0.000248071	3.415350416	0.000002945	0.005499170	0.000532918	0.000000353	0.000000353
NCPD 116	2/26/09	2009	NC	Late	17	209	1	0.28	good		0.002298344	0.012749369	0.000140981	0.000200678	2.651906555	0.000003476	0.003261097	0.000569990	0.000000509	0.000000000
NCPD 117	2/26/09	2009	NC	Late	17	200	1	0.20	good		0.003275190	0.007037974	0.000065587	0.000167046	3.084032799	0.000000000	0.005100002	0.000527452	0.000000257	0.000000257
NCPD 120	3/3/09	2009	NC	Late	17	188	1	0.30	good		0.010285136	0.006929016	0.000029071	0.000275466	3.190390908	0.000015460	0.006067149	0.000507293	0.000000000	0.000000313
NCPD 122	3/3/09	2009	NC	Late	17	195	2	0.76	good		0.026635262	0.004477433	0.000016460	0.000352355	3.281072068	0.000014093	0.006518954	0.000421502	0.000000000	0.000000320
NCPD 121	3/3/09	2009	NC	Late	18	197	2	0.88	good		0.027730276	0.014813295	0.000129898	0.000456511	3.397958033	0.000014693	0.005501867	0.000480408	0.000000428	0.000000428
NCPD 123	3/3/09	2009	NC	Late	18	206	2	0.78	good		0.012904467	0.009728926	0.000124681	0.000281245	3.256427199	0.000010803	0.004706854	0.000418439	0.000000000	0.000000000
NCPD 128	2/24/10	2010	NC	Late	15	98	1	0.35	excellent		0.034541577	0.018622340	0.000148236	0.000295894	2.980403233	0.000002883	0.006195824	0.000604987	0.000000298	0.000000000
NCPD 150	3/11/10	2010	NC	Late	17	119	1	0.96	good		0.005496290	0.006687833	0.000100849	0.021398506	2.344758316	0.000008960	0.066730770	0.000593011	0.000000000	0.000000000
PADE08_058	1/7/08	2008	York	Late	15	214	2	0.77	good		0.086376270	0.006529718	0.000011704	0.001360658	2.871510088	0.000007762	0.006089368	0.000596816	0.000002053	0.000000000
PADE08_059	1/22/08	2008	York	Late	18	294	2	0.94	good		0.002879640	0.014008670	0.000015827	0.000208940	3.244333624	0.000011451	0.004826616	0.000485882	0.000000000	0.000000000
PADE09_063	1/12/09	2009	York	Late	17	149	1	0.86	good		0.094987900	0.007062555	0.000037023	0.000627994	3.155496873	0.000002344	0.008925880	0.000394699	0.000000000	0.000000319
PADE09_065	1/12/09	2009	York	Late	17	167	1	0.81	excellent		0.009740341	0.013010406	0.000081868	0.000109957	2.801847462	0.000000000	0.005415951	0.000419955	0.000000419	0.000000000
PADE09_066	1/12/09	2009	York	Late	18	162	1	0.61	good		0.010723034	0.011218190	0.000109573	0.000153881	3.301792395	0.000000000	0.007039701	0.000457332	0.000000000	0.000000000
PADE09_067	2/11/09	2009	York	Late	17	167	1	0.76	excellent		0.006560355	0.030688851	0.000070586	0.000068632	2.970850222	0.000000562	0.010306717	0.000369494	0.000000422	0.000000000
PADE09_069	2/26/09	2009	York	Late	17	167	1	0.50	excellent		0.009717208	0.013364400	0.000063053	0.000121429	3.003882542	0.000006149	0.004956326	0.000361324	0.000000000	0.000000000
PADE10_048	1/14/10	2010	York	Late	14	165	1	0.39	excellent		0.002244957	0.023954123	0.000029646	0.000115500	2.972953243	0.000000593	0.010793450	0.000354759	0.000000000	0.000000120
PADE10_047	1/14/10	2010	York	Late	16	219	2	0.80	good		0.006946404	0.022491342	0.000116479	0.000237232	3.251608692	0.000006352	0.008415462	0.000405575	0.000000000	0.000000000
PADE10_050	1/19/10	2010	York	Late	17	216	2	0.78	excellent		0.002944432	0.043313470	0.000130578	0.000169046	3.137990373	0.000007460	0.009189204	0.000375672	0.000000605	0.000000000
PADE10_051	1/29/10	2010	York	Late	17	181	2	0.75	excellent		0.002791357	0.024166324	0.000015993	0.000170782	3.541210256	0.000000000	0.007008034	0.000429707	0.000000565	0.000000000
PADE10_052	2/2/10	2010	York	Late	15	141	1	0.67	excellent		0.002529429	0.006313244	0.000029152	0.000000000	3.858706947	0.000003091	0.008306751	0.000921659	0.000000000	0.000000250
PADE10_054	2/13/10	2010	York	Late	17	205	2	0.74	excellent		0.005310386	0.017468567	0.000006609	0.000091340	3.807690317	0.000000000	0.008919697	0.000747864	0.000000441	0.000000000
PADE10_053	2/13/10	2010	York	Late	18	224	1	0.33	good		0.003635947	0.009530638	0.000026553	0.000619735	2.147142529	0.000001040	0.001051954	0.000841002	0.000000000	0.000000567
PADE10_055	2/17/10	2010	York	Late	17	173	2	0.73	excellent		0.002828545	0.013855740	0.000106936	0.000075719	3.243959909	0.000004303	0.008082464	0.000739890	0.000000000	0.000000000
PADE11_015	1/5/11	2011	York	Late	11	180	1	0.79	excellent		0.004583218	0.024232693	0.000035364	0.000165896	3.958045705	0.000000164	0.008589295	0.000756773	0.000000493	0.000000000
PADE11_017	2/8/11	2011	York	Late	16	215	2	0.82	good		0.005522815	0.008732102	0.000068216	0.000156025	3.177767822	0.000000000	0.011746631	0.000634666	0.000000000	0.000000000
PADE11_018	2/16/11	2011	York	Late	16	144	1	0.45	excellent		0.005365317	0.010237545	0.000081910	0.000176669	3.658357327	0.000003125	0.010505747	0.000577959	0.000000000	0.000000000
PADE11_019	2/16/11	2011	York	Late	16	169	1	0.42	excellent		0.006592564	0.055160138	0.000126683	0.000078291	3.333983950	0.000000000	0.009782156	0.000633257	0.000000000	0.000000000
PADE11_020	2/22/11	2011	York	Late	16	185	2	0.36	good		0.008469900	0.014866017	0.000068727	0.000235634	2.944493763	0.000000000	0.009869665	0.000564492	0.000000000	0.000000703
PADE12_016	1/12/12	2012	York	Late	15	192	2	1.00	excellent		0.031148596	0.023442059	0.000117380	0.006718110	3.481043799	0.000001194	0.011162303	0.001618194	0.000000000	0.000000000
PADE12_019	1/25/12	2012	York	Late	16	184	2	0.50	excellent		0.006627411	0.029596710	0.000023711	0.000119502	3.533904768	0.000000000	0.005646058	0.000603262	0.000000000	0.000000808
PADE12_021	1/25/12	2012	York	Late	16	161	1	0.86	good		0.076971412	0.010595023	0.000028294	0.000266508	2.957056557	0.000002386	0.007537930	0.000570458	0.000000000	0.000000000
PADE12_018	1/25/12	2012	York	Late	18	187	2	0.86	good		0.035097088	0.016279321	0.000097779	0.000529143	2.814777342	0.000000000	0.005126330	0.000550703	0.000000474	0.000000000
PADE12_020	1/25/12	2012	York	Late	19	208	1	0.31	good		0.009348837	0.012819371	0.000111337	0.000358573	3.101835101	0.000000463	0.004538873	0.000551843	0.000001034	0.000000000
