Fish ID	Collection Date	Year	Location	Period	TL (mm)	Otolith D (um)	Peak Number	peak time 	"peak quality (excellent, good, poor, terrible, unusable)"	3core	Mg	Mn	Fe	Cu	Sr	Cd	Ba	Sn	Pb	U
PADE98_003	2/2/98	1998	RUMFS	Mid	19	195	1	0.23	good		0.002299418	0.006106585	0.000000000	0.000176720	3.144969560	0.000002062	0.012219320	0.000217871	0.000000155	0.000000155
PADE98_004	2/16/98	1998	RUMFS	Mid	16	192	1	0.35	excellent		0.006752560	0.012849363	0.001261007	0.000227086	3.226232710	0.000002312	0.008303948	0.000202464	0.000000169	0.000000169
PADE98_006	11/17/98	1998	RUMFS	Mid	14	180	1	0.26	excellent		0.001199049	0.013332560	0.000000000	0.000144737	2.709833268	0.000000827	0.008684898	0.000190507	0.000000000	0.000000155
PADE98_008	11/24/98	1998	RUMFS	Mid	14	130	2	0.82	excellent		0.001861565	0.006645278	0.002203629	0.000126707	2.551519941	0.000003864	0.005493107	0.000182177	0.000000173	0.000000346
PADE98_007	11/24/98	1998	RUMFS	Mid	15	176	1	0.29	excellent		0.001671697	0.018853026	0.001032512	0.000169390	2.649902137	0.000002382	0.006804588	0.000187616	0.000000000	0.000000317
PADE98_009	11/30/98	1998	RUMFS	Mid	16	166	1	0.19	good		0.001093246	0.006743227	0.000529026	0.000116013	2.695055680	0.000002488	0.016658171	0.000175501	0.000000141	0.000000281
PADE99_001	1/25/99	1999	RUMFS	Mid	15	199	1	0.15	good		0.003714509	0.007429689	0.000628374	0.000381784	3.010275872	0.000003726	0.005460763	0.000158285	0.000000000	0.000000000
PADE99_003	10/27/99	1999	RUMFS	Mid	14	139	1	0.50	good		0.006335800	0.016070323	0.000000000	0.000151559	2.747888568	0.000001116	0.004344218	0.000205189	0.000000000	0.000000504
PADE00_001	3/27/00	2000	RUMFS	Mid	16	110	1	0.53	excellent		0.000924229	0.009211447	0.000000000	0.000108590	3.278264808	0.000000527	0.006474787	0.000273643	0.000000176	0.000000351
PADE00_003	10/17/00	2000	RUMFS	Mid	15	189	1	0.35	good		0.003233747	0.021537091	0.001127974	0.000134212	3.012913532	0.000002580	0.013455930	0.000230763	0.000000000	0.000000000
PADE00_002	10/17/00	2000	RUMFS	Mid	17	176	1	0.68	good		0.004780302	0.008941311	0.002733415	0.000067069	2.739100134	0.000000060	0.010552321	0.000217758	0.000000541	0.000000180
PADE00_005	11/21/00	2000	RUMFS	Mid	13	146	1	0.64	good		0.002086509	0.007828418	0.000676623	0.000157533	3.316806919	0.000002492	0.010738525	0.000221375	0.000000178	0.000000000
PADE00_006	11/21/00	2000	RUMFS	Mid	15	175	2	0.81	excellent		0.007042132	0.010313718	0.004210484	0.000152464	3.454327114	0.000001702	0.011950242	0.000178751	0.000000424	0.000000424
PADE00_008	12/13/00	2000	RUMFS	Mid	17	142	1	0.32	good		0.001320700	0.010616187	0.001378962	0.000056605	3.512817899	0.000003034	0.009888451	0.000232078	0.000000175	0.000000175
PADE01_001	1/24/01	2001	RUMFS	Mid	15	154	1	0.55	excellent		0.001376283	0.013765808	0.000038335	0.000145085	3.379606492	0.000001685	0.009248493	0.000208635	0.000000000	0.000000000
PADE01_002	1/24/01	2001	RUMFS	Mid	17	163	1	0.61	excellent		0.003154947	0.016566384	0.002065377	0.000121903	3.352158196	0.000002994	0.013929459	0.000195410	0.000000352	0.000000176
PADE01_003	1/30/01	2001	RUMFS	Mid	13	175	1	0.14	excellent		0.001647551	0.007523553	0.000013321	0.000178007	3.263016968	0.000001971	0.006692291	0.000172790	0.000000000	0.000000296
PADE01_004	1/30/01	2001	RUMFS	Mid	16	176	2	0.44	good		0.001123508	0.005204282	0.001286868	0.000115322	2.999282958	0.000000000	0.010087529	0.000217227	0.000000000	0.000000536
PADE01_005	1/30/01	2001	RUMFS	Mid	18	169	1	0.69	excellent		0.001195162	0.025174281	0.001406949	0.000144503	3.401709247	0.000001492	0.007274734	0.000190362	0.000000166	0.000000498
PADE01_006	2/6/01	2001	RUMFS	Mid	15	130	1	0.69	good		0.000899613	0.005945962	0.001596723	0.000139073	3.169235002	0.000002059	0.006201183	0.000191377	0.000000172	0.000000000
PADE01_007	2/6/01	2001	RUMFS	Mid	17	155	1	0.33	good		0.002133600	0.006034299	0.002282127	0.000134024	2.791569156	0.000002874	0.008600321	0.000178219	0.000000000	0.000000000
PADE01_008	2/14/01	2001	RUMFS	Mid	14	116	1	0.35	excellent		0.000940931	0.007027947	0.000801285	0.000118668	3.877543080	0.000000425	0.007908795	0.000168592	0.000000000	0.000000319
PADE01_009	2/14/01	2001	RUMFS	Mid	15	147	1	0.35	good		0.000763432	0.002059571	0.000887123	0.000048568	2.850715944	0.000003126	0.005452243	0.000192114	0.000000184	0.000000184
PADE01_012	2/26/01	2001	RUMFS	Mid	16	111	1	0.78	good		0.000856787	0.006456333	0.002206282	0.000160714	2.815686127	0.000001514	0.010369824	0.000170044	0.000000181	0.000000181
PADE01_013	3/14/01	2001	RUMFS	Mid	15	157	1	0.44	good		0.001164634	0.007887423	0.001037338	0.000120614	3.503344926	0.000000000	0.015983690	0.000183749	0.000000357	0.000000000
PADE01_014	3/19/01	2001	RUMFS	Mid	15	118	1	0.67	excellent		0.001946276	0.002762460	0.000000000	0.000000000	3.349325486	0.000000000	0.015915468	0.000584851	0.000000449	0.000000000
PADE01_015	3/19/01	2001	RUMFS	Mid	15	95	1	0.24	good		0.013176578	0.008098778	0.000000000	0.000202276	3.217223975	0.000003818	0.011816228	0.000446009	0.000000000	0.000000000
PADE02_001	10/15/02	2002	RUMFS	Mid	15	167	2	0.67	excellent		0.014744052	0.015902692	0.007052875	0.000029437	2.562515486	0.000005494	0.005231776	0.000437270	0.000000000	0.000000411
PADE02_004	11/19/02	2002	RUMFS	Mid	15	187	2	0.81	good		0.019658914	0.009303207	0.000000000	0.000156552	2.365353450	0.000004496	0.004791749	0.000399986	0.000000000	0.000000000
PADE02_008	12/18/02	2002	RUMFS	Mid	15	155	1	0.72	excellent		0.001709085	0.016056466	0.003547897	0.000191874	3.091195033	0.000001025	0.005876390	0.000314207	0.000000192	0.000000000
PADE02_009	12/18/02	2002	RUMFS	Mid	15	176	2	0.67	good		0.001828982	0.008925889	0.000980344	0.000239581	3.308877727	0.000002309	0.007730937	0.000714070	0.000000216	0.000000433
PADE08_012	1/21/08	2008	RUMFS	Late	17	188	1	0.54	excellent		0.003276174	0.028105824	0.000332862	0.000141255	3.249291393	0.000001924	0.008053982	0.000404207	0.000000000	0.000000995
PADE08_013	2/6/08	2008	RUMFS	Late	18	187	1	0.39	good		0.001807571	0.011906828	0.001372864	0.000146463	3.146844047	0.000000000	0.012135423	0.000328439	0.000000719	0.000000000
PADE08_005	10/22/08	2008	RUMFS	Late	13	130	1	0.63	good		0.004225042	0.012669719	0.000000000	0.000067841	3.131243315	0.000000000	0.006157522	0.000487189	0.000000400	0.000000000
PADE08_023	11/11/08	2008	RUMFS	Late	16	124	1	0.38	excellent		0.006969297	0.020242630	0.002076865	0.000365122	3.335378608	0.000000392	0.009628703	0.000297684	0.000000000	0.000000355
PADE08_021	11/11/08	2008	RUMFS	Late	17	190	2	0.69	good		0.005230247	0.011342238	0.005667415	0.000171407	2.995380939	0.000001329	0.006713476	0.000308640	0.000000290	0.000000000
PADE09_001	1/28/09	2009	RUMFS	Late	17	211	1	0.55	excellent		0.001444601	0.006172376	0.002577883	0.000163584	3.026062939	0.000001324	0.005267543	0.000314226	0.000000000	0.000000233
PADE09_011	1/28/09	2009	RUMFS	Late	18	184	1	0.61	excellent		0.001376485	0.015303519	0.000296923	0.000213752	3.150980534	0.000001183	0.007079935	0.000250918	0.000000355	0.000000000
PADE09_013	2/16/09	2009	RUMFS	Late	16	146	1	0.52	excellent		0.001712365	0.009884250	0.000122467	0.000105149	3.044221124	0.000000329	0.004603913	0.000248997	0.000000247	0.000000370
PADE09_002	2/16/09	2009	RUMFS	Late	17	185	1	0.38	excellent		0.001478790	0.015743106	0.002695450	0.000218937	3.153700627	0.000002550	0.006084376	0.000272805	0.000000348	0.000000232
PADE09_012	2/16/09	2009	RUMFS	Late	17	56	1	0.38	excellent		0.003596229	0.008089051	0.000634931	0.001557795	3.323491159	0.000001670	0.006419778	0.000287285	0.000000228	0.000000228
PADE09_014	2/16/09	2009	RUMFS	Late	18	145	2	0.71	excellent		0.007087604	0.031111018	0.001861889	0.000125686	3.163833042	0.000002309	0.014035773	0.000224102	0.000000513	0.000000000
PADE09_025	3/4/09	2009	RUMFS	Late	18	184	1	0.25	excellent		0.004262124	0.017511165	0.000137229	0.000190855	2.982781693	0.000004684	0.005659370	0.000247251	0.000000244	0.000000244
PADE09_026	3/4/09	2009	RUMFS	Late	18	200	1	0.61	good		0.006154118	0.015056381	0.000024155	0.000292873	3.378094342	0.000003620	0.007349975	0.000256681	0.000000259	0.000000000
PADE09_004	10/21/09	2009	RUMFS	Late	13	69	1	0.55	excellent		0.002973873	0.007727025	0.002297436	0.000230766	3.138937609	0.000005269	0.009112531	0.000285878	0.000000039	0.000000232
PADE09_018	10/21/09	2009	RUMFS	Late	13	173	1	0.60	good		0.001961859	0.008850311	0.000079142	0.000341278	3.652978419	0.000011365	0.009968505	0.000227394	0.000000126	0.000000000
PADE09_005	11/18/09	2009	RUMFS	Late	15	201	1	0.57	excellent		0.002545884	0.013446703	0.005747382	0.000137492	3.080168572	0.000001792	0.007827489	0.000283996	0.000000000	0.000000308
PADE09_007	11/23/09	2009	RUMFS	Late	15	181	1	0.71	excellent		0.014959298	0.013062619	0.000000000	0.000070482	3.578775474	0.000003448	0.028068170	0.000202520	0.000000177	0.000000353
PADE10_001	1/25/10	2010	RUMFS	Late	17	183	1	0.58	excellent		0.001239749	0.013483670	0.000096744	0.000125202	3.277555759	0.000001439	0.011598890	0.000221801	0.000000382	0.000000127
PADE10_002	3/31/10	2010	RUMFS	Late	14	106	1	0.41	excellent		0.000902076	0.008811995	0.000000000	0.000230981	3.623505554	0.000001246	0.004916463	0.000244625	0.000000121	0.000000121
PADE10_006	11/16/10	2010	RUMFS	Late	13	178	2	0.74	good		0.010299410	0.007174702	0.001890947	0.000227125	2.853587631	0.000002978	0.015425536	0.000217891	0.000000263	0.000000131
PADE10_005	11/16/10	2010	RUMFS	Late	15	155	1	0.73	good		0.002806818	0.006915561	0.000000000	0.000146906	3.105070268	0.000001710	0.016107729	0.000235555	0.000000131	0.000000131
PADE10_004	11/16/10	2010	RUMFS	Late	16	180	2	0.74	good		0.005314235	0.020345884	0.002801499	0.000116361	3.087903738	0.000003897	0.012623094	0.000242507	0.000000282	0.000000000
PADE10_009	12/7/10	2010	RUMFS	Late	18	181	1	0.64	excellent		0.001607480	0.016273560	0.000667273	0.000134906	3.174902406	0.000000930	0.014812497	0.000212816	0.000000133	0.000000133
PADE11_002	10/12/11	2011	RUMFS	Late	13	129	1	0.72	good		0.002685575	0.006335739	0.002759688	0.000000000	2.863381298	0.000000000	0.016507262	0.000174433	0.000000000	0.000000282
PADE11_008	11/8/11	2011	RUMFS	Late	13	139	2	0.79	good		0.001621900	0.006106035	0.000000000	0.000000000	3.071769260	0.000000516	0.008832808	0.000317678	0.000000000	0.000000000
PADE11_011	12/6/11	2011	RUMFS	Late	17	211	1	0.77	excellent		0.001995734	0.022205256	0.002443790	0.000000000	2.274545164	0.000001622	0.005131660	0.000257000	0.000000347	0.000000000
PADE12_001	1/16/12	2012	RUMFS	Late	15	218	2	0.58	excellent		0.001202079	0.007507339	0.000814142	0.000041006	2.993549694	0.000003228	0.007264366	0.000269148	0.000000912	0.000000182
PADE12_015	1/16/12	2012	RUMFS	Late	19	227	1	0.31	excellent		0.004814775	0.014278287	0.002428719	0.000147241	2.659927258	0.000000692	0.010303365	0.000175847	0.000000296	0.000000296
PADE12_002	2/13/12	2012	RUMFS	Late	15	189	1	0.52	excellent		0.001288748	0.015270236	0.000751583	0.000100602	4.207429443	0.000002295	0.012438330	0.000253024	0.000000000	0.000000724
PADE12_003	2/22/12	2012	RUMFS	Late	18	189	1	0.64	excellent		0.001048907	0.010508701	0.001278416	0.000082468	3.397043526	0.000000323	0.009929695	0.000218415	0.000000326	0.000000326
PADE12_014	2/22/12	2012	RUMFS	Late	18	117	1	0.36	excellent		0.001077301	0.005931515	0.000000000	0.573712901	3.488183249	0.000002467	0.010998579	0.000229691	0.000000000	0.000000154
PADE12_004	3/12/12	2012	RUMFS	Late	14	185	1	0.55	excellent		0.001373067	0.015246802	0.002456572	0.000114146	3.731883023	0.000003795	0.009063603	0.000248685	0.000000373	0.000000000
PADE12_005	11/13/12	2012	RUMFS	Late	12	160	1	0.38	excellent		0.002097466	0.007287529	0.000809882	0.000147360	2.495298534	0.000000000	0.004095231	0.000161520	0.000000000	0.000000000
PADE12_008	12/11/12	2012	RUMFS	Late	19	189	1	0.45	good		0.003260393	0.004339065	0.004113690	0.000152017	2.631433994	0.000000954	0.005698215	0.000198538	0.000000357	0.000000060
