"Fish.ID"	"Collection.Date"	"Year"	"Location"	"Period"	"TL..mm."	"Otolith.D..um."	"Peak.Number"	"peak.time"	"peak.quality..excellent..good..poor..terrible..unusable."	"X3core"	"Mg"	"Mn"	"Fe"	"Cu"	"Sr"	"Cd"	"Ba"	"Sn"	"Pb"	"U"
"NCPD 001"	"2/8/89"	1989	"NC"	"Early"	16	177	2	0.68	"excellent"	NA	0.040209638	0.007315036	1.6846e-05	0.000326691	3.437579925	3.995e-06	0.007210578	0.00039676	4.28e-07	1.283e-06
"NCPD 015"	"3/16/89"	1989	"NC"	"Early"	16	218	2	0.77	"excellent"	NA	0.059346743	0.024818023	0.002905206	0.000396409	2.91883094	4.38e-06	0.005505555	0.000247082	2.26723971061874e-08	2.47e-07
"NCPD 013"	"3/16/89"	1989	"NC"	"Early"	17	173	2	0.69	"good"	NA	0.019200128	0.006972829	0.000124097	0.000596019	3.459844634	3.64e-06	0.006969374	0.00027474	3.02117189015262e-08	3.75895810453221e-08
"NCPD 014"	"3/16/89"	1989	"NC"	"Early"	17	137	1	0.77	"excellent"	NA	0.053534889	0.023240271	0.000412377	0.00049282	3.208885055	1.43162713013589e-09	0.005557814	0.000319354	2.6e-07	1.95989593025297e-08
"NCPD 018"	"3/23/89"	1989	"NC"	"Early"	16	115	1	0.69	"excellent"	NA	0.014983446	0.019614098	1.8183e-05	0.000281933	2.83081912	3.272e-06	0.003922079	0.000321487	3.01634079760406e-08	5.66882368829101e-08
"NCPD 019"	"3/29/89"	1989	"NC"	"Early"	15	170	1	0.33	"excellent"	NA	0.014655972	0.014812887	0.000474344	0.000308274	2.86739012	3.268e-06	0.005173332	0.000306129	6.15710610500537e-09	2.30361020285636e-08
"NCPD 023"	"2/6/91"	1991	"NC"	"Early"	17	219	2	0.65	"excellent"	NA	0.041800734	0.022113341	9.4106e-05	0.007550828	3.229164032	5.709e-06	0.006593161	0.000277345	5.29833808075637e-09	2.68e-07
"NCPD 025"	"2/13/91"	1991	"NC"	"Early"	16	170	1	0.81	"excellent"	NA	0.004542199	0.015410143	0.000146887	0.000433052	2.783192288	5.82429590635002e-10	0.004722777	0.000197611	3.60615498935804e-08	5.73864639457315e-08
"NCPD 027"	"2/27/91"	1991	"NC"	"Early"	16	184	2	0.86	"excellent"	NA	0.017699359	0.029373838	0.000146821	0.000322814	3.541350711	1.509e-06	0.010089741	0.000310507	3.24033480898943e-08	2.55152233829722e-08
"NCPD 026"	"2/27/91"	1991	"NC"	"Early"	17	200	2	0.89	"excellent"	NA	0.017346203	0.028438711	0.000296759	0.000120231	3.039568003	7.547e-06	0.007140447	0.000269394	2.30224091168493e-08	6.46e-07
