"Fish.ID"	"Collection.Date"	"Year"	"Location"	"Period"	"TL..mm."	"Otolith.D..um."	"Peak.Number"	"peak.time"	"peak.quality..excellent..good..poor..terrible..unusable."	"X3core"	"Mg"	"Mn"	"Fe"	"Cu"	"Sr"	"Cd"	"Ba"	"Sn"	"Pb"	"U"
"NCPD 029"	"3/6/91"	1991	"NC"	"Early"	15	218	2	0.85	"good"	NA	0.005055713	0.014503893	0.000142155	0.000239895	3.228688904	4.505e-06	0.006217363	0.000298382	2.8889888701262e-08	8.44702587928623e-09
"NCPD 028"	"3/6/91"	1991	"NC"	"Early"	16	212	2	0.73	"good"	NA	0.005452872	0.005081818	7.6445e-05	0.000255709	3.306457349	6.708e-06	0.005667956	0.000302034	3.24e-07	3.6323508429341e-08
"NCPD 030"	"3/21/91"	1991	"NC"	"Early"	16	235	2	0.77	"good"	NA	0.013708783	0.018289377	5.9711e-05	0.000268176	3.1094554	4.73e-07	0.006041725	0.000283343	5.67e-07	1.28502263780683e-08
"NCPD 156"	"3/21/91"	1991	"NC"	"Early"	16	171	1	0.47	"excellent"	NA	0.002641904	0.020468368	0.000134771	0.000262213	3.336666163	4.89e-06	0.004325432	0.000377013	7.70481881545857e-09	8.16512397956103e-09
"NCPD 031"	"3/21/91"	1991	"NC"	"Early"	17	185	2	0.77	"excellent"	NA	0.010583132	0.028578073	9.8712e-05	0.000350913	2.956605787	9.3771e-05	0.006781783	0.000246906	1.67728743511252e-08	2.64e-07
"NCPD 046"	"3/11/92"	1992	"NC"	"Early"	15	227	2	0.72	"excellent"	NA	0.012578474	0.024594521	0.000131014	8.372e-05	3.880743367	3.589e-06	0.011646504	0.000463941	1.87878664908931e-08	5.1e-07
"NCPD 045"	"3/11/92"	1992	"NC"	"Early"	16	199	1	0.73	"excellent"	NA	0.032299729	0.042493482	0.001317522	2.73695450660638e-05	3.828272017	4.184e-06	0.011345723	0.000488013	1.68228809495922e-08	3.9361790958792e-08
"NCPD 051"	"2/11/98"	1998	"NC"	"Mid"	16	147	1	0.45	"excellent"	NA	0.0018168	0.045237109	3.8609e-05	0.000283636	3.694408204	9.67e-07	0.006209583	0.000507234	3.00704592992552e-08	1.09263970283791e-08
"NCPD 054"	"2/11/98"	1998	"NC"	"Mid"	16	167	1	0.51	"excellent"	NA	0.003065698	0.032342105	2.8425e-05	1.87331985663292e-05	2.956899945	7.64e-07	0.004852426	0.000425863	3.27e-07	3.82895090198144e-08
"NCPD 056"	"2/17/98"	1998	"NC"	"Mid"	16	155	1	0.64	"excellent"	NA	0.003278947	0.052372647	2.2098e-05	0.000218127	3.580527832	8.13e-07	0.006855579	0.000439775	6.19052188633941e-09	4.05e-07
"NCPD 059"	"2/17/98"	1998	"NC"	"Mid"	16	162	1	0.36	"excellent"	NA	0.005577029	0.033380021	4.7571e-05	0.000544584	3.786416605	5.879e-06	0.001994733	0.000429832	5.98e-07	1.01625257218257e-08
"NCPD 055"	"2/17/98"	1998	"NC"	"Mid"	17	175	2	0.78	"excellent"	NA	0.00393727	0.054505993	7.533e-05	0.000198274	3.207492465	2.15106080286205e-09	0.005786366	0.000400851	4.27e-07	5.59071436431259e-08
"NCPD 058"	"2/17/98"	1998	"NC"	"Mid"	17	182	1	0.69	"excellent"	NA	0.002546214	0.012981956	1.4946e-05	1.80197894335724e-06	3.428300739	1.1593e-05	0.00803298	0.000472738	3.76287517379969e-08	4.09320137277246e-08
"NCPD 064"	"3/3/98"	1998	"NC"	"Mid"	16	141	1	0.55	"good"	NA	0.00690349	0.007434214	9.1054e-05	0.000511838	4.377563887	1.333e-06	0.006668522	0.000465005	2.36987030419987e-08	5.32504255603999e-08
"NCPD 062"	"3/3/98"	1998	"NC"	"Mid"	18	199	1	0.62	"excellent"	NA	0.028785024	0.016375963	0.000138831	6.6332e-05	3.712743383	1.357e-06	0.006859044	0.000489437	1.23471790656913e-08	4.07e-07
"NCPD 066"	"3/3/98"	1998	"NC"	"Mid"	18	169	1	0.71	"good"	NA	0.002808751	0.016062197	0.000116639	1.92236839870692e-05	3.199641733	2.20246554072946e-09	0.003337394	0.00048367	2.66625133752823e-08	5.0269331051968e-08
"NCPD 071"	"3/16/99"	1999	"NC"	"Mid"	17	207	2	0.81	"good"	NA	0.016558899	0.005297754	1.597e-06	1.36078602697148e-05	3.029320399	2.59452668018639e-09	0.005940296	0.000559821	3.73e-07	3.47606933768839e-08
"NCPD 074"	"2/22/00"	2000	"NC"	"Mid"	17	84	1	0.64	"excellent"	NA	0.00510872	0.012335753	0.000133634	0.054206742	2.768313313	0.000237985	0.004828274	0.000460118	1.4554e-05	7.15489800553769e-09
"NCPD 072"	"2/22/00"	2000	"NC"	"Mid"	18	182	2	0.76	"good"	NA	0.007983744	0.007165555	1.8981e-05	0.000261945	2.84319855	3.244e-06	0.005345419	0.000518468	1.83553950490896e-08	2.95e-07
"NCPD 073"	"2/22/00"	2000	"NC"	"Mid"	18	202	2	0.78	"excellent"	NA	0.004853567	0.024921214	3.0295e-05	0.000238299	3.614750465	1.42e-07	0.006827039	0.000594413	3.33052233920898e-08	2.55131196789443e-08
"NCPD 157"	"2/29/00"	2000	"NC"	"Mid"	15	178	1	0.7	"excellent"	NA	0.011854925	0.008779628	0.000117026	0.000302585	3.595784559	3.707e-06	0.006355335	0.000387694	3.3661832800135e-09	5.13868709374219e-08
"NCPD 085"	"3/8/01"	2001	"NC"	"Mid"	15	138	1	0.31	"excellent"	NA	0.003240389	0.013930639	3.57e-05	0.000206322	3.234027066	6.104e-06	0.004543103	0.000391704	9.7e-08	5.66710235830396e-08
"NCPD 086"	"3/8/01"	2001	"NC"	"Mid"	15	155	1	0.71	"excellent"	NA	0.002529842	0.024027829	6.2783e-05	0.000111458	3.212573505	1.053e-06	0.007933591	0.000402862	2.16369826078881e-08	6.32e-07
"NCPD 081"	"3/8/01"	2001	"NC"	"Mid"	16	171	2	0.8	"excellent"	NA	0.024057024	0.028270483	7.2203e-05	0.000233363	2.974858253	1.07371427677572e-09	0.005840862	0.000358214	3.6e-07	5.08629603730515e-08
"NCPD 082"	"3/8/01"	2001	"NC"	"Mid"	17	159	2	0.81	"excellent"	NA	0.004947997	0.007751368	7.7175e-05	0.00027086	3.094959428	5.87e-07	0.007978553	0.00036798	1.67707052081823e-08	2.41850286489353e-08
"NCPD 087"	"3/8/01"	2001	"NC"	"Mid"	17	140	1	0.26	"excellent"	NA	0.002724352	0.014486309	0.000140969	0.000494741	3.184659056	2.33e-06	0.006324699	0.000460294	2.59e-07	2.34600252052769e-08
"NCPD 088"	"3/8/01"	2001	"NC"	"Mid"	17	172	1	0.73	"excellent"	NA	0.004304956	0.02415084	3.9867e-05	0.00027354	2.584908124	4e-09	0.005020555	0.000368311	3.59e-07	6.2258500372991e-09
"NCPD 089"	"3/8/01"	2001	"NC"	"Mid"	18	212	1	0.85	"excellent"	NA	0.007995907	0.030137154	0.000134114	0.000362921	3.34797696	1.83024551812559e-09	0.006352624	0.00044738	1.33171180584468e-08	4.76419125963002e-08
"NCPD 090"	"3/14/01"	2001	"NC"	"Mid"	16	190	1	0.67	"excellent"	NA	0.002547524	0.042471212	6.726e-06	0.000220262	2.869269673	4.245e-06	0.004858088	0.000412599	8.21e-07	2.44356160517782e-09
"NCPD 091"	"3/14/01"	2001	"NC"	"Mid"	16	246	1	0.73	"excellent"	NA	0.002578386	0.028920391	2.4734e-05	0.000138508	2.9102568	5.809e-06	0.005179654	0.000367761	2.56751085876022e-08	4.38559258589521e-08
"NCPD 093"	"3/14/01"	2001	"NC"	"Mid"	17	182	1	0.31	"excellent"	NA	0.002002176	0.014570975	0.000113456	0.000185043	2.915888742	3.8533709095791e-09	0.007079852	0.000347363	2.42552336475346e-08	2.91e-07
"NCPD 092"	"3/14/01"	2001	"NC"	"Mid"	18	192	2	0.77	"good"	NA	0.001759676	0.019194449	8.867e-06	0.000113647	3.22999912	1.608e-06	0.007652708	0.000381154	4.39e-07	4.39e-07
"NCPD 103"	"2/27/08"	2008	"NC"	"Late"	14	171	1	0.27	"good"	NA	0.05766642	0.011024672	2.1127e-05	0.000356381	3.478697882	9.101e-06	0.006076773	0.000401361	3.37e-07	3.37e-07
"NCPD 106"	"2/27/08"	2008	"NC"	"Late"	15	195	1	0.94	"good"	NA	0.021814471	0.004766812	4.6555e-05	5.9757e-05	2.440897846	1.0594e-05	0.004463862	0.000426761	9.93e-07	2.35125083941966e-09
"NCPD 111"	"3/5/08"	2008	"NC"	"Late"	16	155	1	0.3	"good"	NA	0.002305329	0.016765625	0.000111997	0.00020237	2.999263072	2.56874257605523e-09	0.005966559	0.000383239	2.48e-07	2.48e-07
"NCPD 107"	"3/5/08"	2008	"NC"	"Late"	17	154	1	0.79	"good"	NA	0.005869633	0.011440051	9.9486e-05	0.000188267	2.808508016	1.25e-06	0.003852499	0.000506598	6.82e-07	4.75208502681926e-08
"NCPD 108"	"3/5/08"	2008	"NC"	"Late"	17	172	2	0.71	"good"	NA	0.001799995	0.015351258	0.000145825	0.000103889	3.411228346	6.09620872884989e-10	0.007503093	0.000471812	1.224e-06	5.14019468799233e-09
"NCPD 109"	"3/5/08"	2008	"NC"	"Late"	17	203	1	0.77	"excellent"	NA	0.003083451	0.025674785	3.0753e-05	0.000267419	3.459698877	1.71705462038517e-09	0.007629382	0.000416001	4.93e-07	1.88482816144824e-08
"NCPD 112"	"2/26/09"	2009	"NC"	"Late"	16	168	1	0.73	"excellent"	NA	0.015381009	0.026118059	4.203e-06	0.000212396	3.402963477	3.612e-06	0.006902125	0.000362064	3.5e-07	2.43257515272126e-08
"NCPD 119"	"2/26/09"	2009	"NC"	"Late"	16	159	1	0.69	"excellent"	NA	0.001995254	0.028930257	0.0001003	0.000248071	3.415350416	2.945e-06	0.00549917	0.000532918	3.53e-07	3.53e-07
"NCPD 116"	"2/26/09"	2009	"NC"	"Late"	17	209	1	0.28	"good"	NA	0.002298344	0.012749369	0.000140981	0.000200678	2.651906555	3.476e-06	0.003261097	0.00056999	5.09e-07	1.05360095109791e-08
"NCPD 117"	"2/26/09"	2009	"NC"	"Late"	17	200	1	0.2	"good"	NA	0.00327519	0.007037974	6.5587e-05	0.000167046	3.084032799	1.24245614837855e-09	0.005100002	0.000527452	2.57e-07	2.57e-07
"NCPD 120"	"3/3/09"	2009	"NC"	"Late"	17	188	1	0.3	"good"	NA	0.010285136	0.006929016	2.9071e-05	0.000275466	3.190390908	1.546e-05	0.006067149	0.000507293	1.02137172720395e-08	3.13e-07
"NCPD 122"	"3/3/09"	2009	"NC"	"Late"	17	195	2	0.76	"good"	NA	0.026635262	0.004477433	1.646e-05	0.000352355	3.281072068	1.4093e-05	0.006518954	0.000421502	1.56797983269207e-08	3.2e-07
"NCPD 121"	"3/3/09"	2009	"NC"	"Late"	18	197	2	0.88	"good"	NA	0.027730276	0.014813295	0.000129898	0.000456511	3.397958033	1.4693e-05	0.005501867	0.000480408	4.28e-07	4.28e-07
"NCPD 123"	"3/3/09"	2009	"NC"	"Late"	18	206	2	0.78	"good"	NA	0.012904467	0.009728926	0.000124681	0.000281245	3.256427199	1.0803e-05	0.004706854	0.000418439	3.89022819728125e-08	2.44409606745467e-08
"NCPD 128"	"2/24/10"	2010	"NC"	"Late"	15	98	1	0.35	"excellent"	NA	0.034541577	0.01862234	0.000148236	0.000295894	2.980403233	2.883e-06	0.006195824	0.000604987	2.98e-07	1.15929263597354e-08
"NCPD 150"	"3/11/10"	2010	"NC"	"Late"	17	119	1	0.96	"good"	NA	0.00549629	0.006687833	0.000100849	0.021398506	2.344758316	8.96e-06	0.06673077	0.000593011	2.14915159405209e-08	4.51576381037012e-08
"PADE08_058"	"1/7/08"	2008	"York"	"Late"	15	214	2	0.77	"good"	NA	0.08637627	0.006529718	1.1704e-05	0.001360658	2.871510088	7.762e-06	0.006089368	0.000596816	2.053e-06	4.15222833445296e-08
"PADE08_059"	"1/22/08"	2008	"York"	"Late"	18	294	2	0.94	"good"	NA	0.00287964	0.01400867	1.5827e-05	0.00020894	3.244333624	1.1451e-05	0.004826616	0.000485882	9.08035938022658e-09	2.81628491124138e-08
"PADE09_063"	"1/12/09"	2009	"York"	"Late"	17	149	1	0.86	"good"	NA	0.0949879	0.007062555	3.7023e-05	0.000627994	3.155496873	2.344e-06	0.00892588	0.000394699	1.64864241709001e-08	3.19e-07
"PADE09_065"	"1/12/09"	2009	"York"	"Late"	17	167	1	0.81	"excellent"	NA	0.009740341	0.013010406	8.1868e-05	0.000109957	2.801847462	6.43749945797026e-10	0.005415951	0.000419955	4.19e-07	2.60873761307448e-08
"PADE09_066"	"1/12/09"	2009	"York"	"Late"	18	162	1	0.61	"good"	NA	0.010723034	0.01121819	0.000109573	0.000153881	3.301792395	2.21061677485704e-09	0.007039701	0.000457332	1.53927232339047e-08	2.88851689221337e-08
"PADE09_067"	"2/11/09"	2009	"York"	"Late"	17	167	1	0.76	"excellent"	NA	0.006560355	0.030688851	7.0586e-05	6.8632e-05	2.970850222	5.62e-07	0.010306717	0.000369494	4.22e-07	3.97957318089902e-08
"PADE09_069"	"2/26/09"	2009	"York"	"Late"	17	167	1	0.5	"excellent"	NA	0.009717208	0.0133644	6.3053e-05	0.000121429	3.003882542	6.149e-06	0.004956326	0.000361324	2.80410742429085e-08	5.61814441205934e-08
"PADE10_048"	"1/14/10"	2010	"York"	"Late"	14	165	1	0.39	"excellent"	NA	0.002244957	0.023954123	2.9646e-05	0.0001155	2.972953243	5.93e-07	0.01079345	0.000354759	4.82535851513967e-09	1.2e-07
"PADE10_047"	"1/14/10"	2010	"York"	"Late"	16	219	2	0.8	"good"	NA	0.006946404	0.022491342	0.000116479	0.000237232	3.251608692	6.352e-06	0.008415462	0.000405575	3.46205843647476e-08	5.49737904220819e-08
"PADE10_050"	"1/19/10"	2010	"York"	"Late"	17	216	2	0.78	"excellent"	NA	0.002944432	0.04331347	0.000130578	0.000169046	3.137990373	7.46e-06	0.009189204	0.000375672	6.05e-07	4.93959666090086e-08
"PADE10_051"	"1/29/10"	2010	"York"	"Late"	17	181	2	0.75	"excellent"	NA	0.002791357	0.024166324	1.5993e-05	0.000170782	3.541210256	3.14892635587603e-09	0.007008034	0.000429707	5.65e-07	1.18626750307158e-08
"PADE10_052"	"2/2/10"	2010	"York"	"Late"	15	141	1	0.67	"excellent"	NA	0.002529429	0.006313244	2.9152e-05	9.26868705244735e-07	3.858706947	3.091e-06	0.008306751	0.000921659	2.90428558294661e-09	2.5e-07
"PADE10_054"	"2/13/10"	2010	"York"	"Late"	17	205	2	0.74	"excellent"	NA	0.005310386	0.017468567	6.609e-06	9.134e-05	3.807690317	2.54724300466478e-10	0.008919697	0.000747864	4.41e-07	3.17074836418033e-08
"PADE10_053"	"2/13/10"	2010	"York"	"Late"	18	224	1	0.33	"good"	NA	0.003635947	0.009530638	2.6553e-05	0.000619735	2.147142529	1.04e-06	0.001051954	0.000841002	3.96099503338337e-09	5.67e-07
"PADE10_055"	"2/17/10"	2010	"York"	"Late"	17	173	2	0.73	"excellent"	NA	0.002828545	0.01385574	0.000106936	7.5719e-05	3.243959909	4.303e-06	0.008082464	0.00073989	2.02411625878885e-08	4.93334618769586e-08
"PADE11_015"	"1/5/11"	2011	"York"	"Late"	11	180	1	0.79	"excellent"	NA	0.004583218	0.024232693	3.5364e-05	0.000165896	3.958045705	1.64e-07	0.008589295	0.000756773	4.93e-07	4.32390118902549e-08
"PADE11_017"	"2/8/11"	2011	"York"	"Late"	16	215	2	0.82	"good"	NA	0.005522815	0.008732102	6.8216e-05	0.000156025	3.177767822	1.56288427207619e-09	0.011746631	0.000634666	2.57415686440654e-08	1.17748149717227e-08
"PADE11_018"	"2/16/11"	2011	"York"	"Late"	16	144	1	0.45	"excellent"	NA	0.005365317	0.010237545	8.191e-05	0.000176669	3.658357327	3.125e-06	0.010505747	0.000577959	2.24302986629773e-08	9.22318208031356e-10
"PADE11_019"	"2/16/11"	2011	"York"	"Late"	16	169	1	0.42	"excellent"	NA	0.006592564	0.055160138	0.000126683	7.8291e-05	3.33398395	3.87334012985230e-09	0.009782156	0.000633257	3.0895618556533e-08	2.42674791114405e-08
"PADE11_020"	"2/22/11"	2011	"York"	"Late"	16	185	2	0.36	"good"	NA	0.0084699	0.014866017	6.8727e-05	0.000235634	2.944493763	2.42882885597646e-09	0.009869665	0.000564492	3.27710236574057e-08	7.03e-07
"PADE12_016"	"1/12/12"	2012	"York"	"Late"	15	192	2	1	"excellent"	NA	0.031148596	0.023442059	0.00011738	0.00671811	3.481043799	1.194e-06	0.011162303	0.001618194	3.14207661452238e-08	4.97073448682204e-08
"PADE12_019"	"1/25/12"	2012	"York"	"Late"	16	184	2	0.5	"excellent"	NA	0.006627411	0.02959671	2.3711e-05	0.000119502	3.533904768	3.81808943022043e-09	0.005646058	0.000603262	3.23126155924983e-08	8.08e-07
"PADE12_021"	"1/25/12"	2012	"York"	"Late"	16	161	1	0.86	"good"	NA	0.076971412	0.010595023	2.8294e-05	0.000266508	2.957056557	2.386e-06	0.00753793	0.000570458	3.65130706513301e-08	2.18941210303456e-09
"PADE12_018"	"1/25/12"	2012	"York"	"Late"	18	187	2	0.86	"good"	NA	0.035097088	0.016279321	9.7779e-05	0.000529143	2.814777342	3.11341572832316e-09	0.00512633	0.000550703	4.74e-07	3.69623575592413e-08
"PADE12_020"	"1/25/12"	2012	"York"	"Late"	19	208	1	0.31	"good"	NA	0.009348837	0.012819371	0.000111337	0.000358573	3.101835101	4.63e-07	0.004538873	0.000551843	1.034e-06	5.84251934336498e-08
"PADE08_025"	"1/16/08"	2008	"Roosevelt"	"Late"	16	245	1	0.22	"good"	NA	0.004100111	0.01656039	0.002679224	0.000194748	2.806600712	1.226e-06	0.006507609	0.000449166	2.04e-07	5.50995505275205e-08
"PADE08_024"	"1/16/08"	2008	"Roosevelt"	"Late"	17	200	1	0.15	"good"	NA	0.002138207	0.004389359	0.014054923	0.003692142	3.256791227	1.699e-06	0.013231915	0.000740347	7.6e-08	3.8e-07
"PADE08_026"	"1/16/08"	2008	"Roosevelt"	"Late"	18	276	1	0.66	"excellent"	NA	0.002276724	0.010837905	0.005501738	6.9479e-05	3.011298048	3.619e-06	0.006047377	0.000437272	4.60313002858311e-09	2.31e-07
"PADE08_030"	"2/22/08"	2008	"Roosevelt"	"Late"	15	213	1	0.65	"excellent"	NA	0.002001766	0.006988496	0.002923287	0.000168142	3.357474538	1.42042756825686e-09	0.008768956	0.000368701	8.82e-07	1.76e-07
"PADE08_027"	"2/22/08"	2008	"Roosevelt"	"Late"	16	202	1	0.64	"excellent"	NA	0.001533266	0.01715948	0.002734887	0.000188699	4.076617642	7.1e-08	0.009595034	0.000447966	2.12e-07	6.28372150473297e-09
"PADE08_028"	"2/22/08"	2008	"Roosevelt"	"Late"	16	224	1	0.64	"excellent"	NA	0.001724743	0.01313806	0.004355703	0.000134912	3.567886533	3.049e-06	0.014770217	0.00044336	4.16e-07	4.16e-07
"PADE08_029"	"2/22/08"	2008	"Roosevelt"	"Late"	16	166	1	0.42	"good"	NA	0.001918224	0.011707543	0.004443624	0.000238563	3.045417649	1.85396507196128e-09	0.005975122	0.000420606	1.99e-07	1.99e-07
"PADE08_033"	"3/10/08"	2008	"Roosevelt"	"Late"	14	171	1	0.56	"excellent"	NA	0.002061364	0.002264702	0.007759719	0.00047337	3.582032238	2.39e-06	0.009127282	0.000372625	2.87e-07	5.74e-07
"PADE08_031"	"3/10/08"	2008	"Roosevelt"	"Late"	15	245	1	0.55	"excellent"	NA	0.001541987	0.013535899	0.003542493	0.000214317	3.616771846	1.134e-06	0.005776976	0.00039523	1.74487634631805e-08	1.79e-07
"PADE08_032"	"3/10/08"	2008	"Roosevelt"	"Late"	15	235	1	0.67	"excellent"	NA	0.001268884	0.01591002	0.006112326	0.000212512	3.41233954	3.542e-06	0.008006231	0.000406756	1.97e-07	4.58801282057539e-08
"PADE08_034"	"10/29/08"	2008	"Roosevelt"	"Late"	14	276	1	0.35	"good"	NA	0.009269201	0.013362792	0.00487632	0.000548734	2.686191968	2.76e-06	0.002618673	0.000394827	3.94e-07	5.91e-07
"PADE08_038"	"11/24/08"	2008	"Roosevelt"	"Late"	12	231	1	0.77	"excellent"	NA	0.00337503	0.00675461	0.003038535	0.000318802	3.485266231	1.397e-06	0.005204872	0.000345031	2.21e-07	2.92161595914513e-08
"PADE08_037"	"11/24/08"	2008	"Roosevelt"	"Late"	14	224	1	0.38	"good"	NA	0.001648921	0.004596833	7.99009070214815e-07	0.000168666	2.627755928	3.34e-07	0.001473282	0.000432204	2.79932014646474e-08	3.22910282341763e-08
"PADE08_039"	"11/24/08"	2008	"Roosevelt"	"Late"	14	211	1	0.3	"good"	NA	0.010501853	0.005428774	0.002104482	0.000463877	2.743492413	1.752e-06	0.004973627	0.000389317	4.2e-07	2.1e-07
"PADE08_042"	"11/24/08"	2008	"Roosevelt"	"Late"	14	247	2	0.74	"excellent"	NA	0.00421433	0.00727782	0.000423725	0.00022793	3.445513353	1.64592729881406e-10	0.006126871	0.00036497	2.1789954258129e-09	1.60580191668123e-08
"PADE08_040"	"11/24/08"	2008	"Roosevelt"	"Late"	16	255	2	0.69	"good"	NA	0.003054827	0.01943604	1.26590883290977e-06	0.000291374	3.220915039	1.262e-06	0.00784911	0.000364301	2.7785744973924e-08	5.97838121233508e-08
"PADE08_043"	"12/10/08"	2008	"Roosevelt"	"Late"	13	229	1	0.73	"excellent"	NA	0.002376498	0.028185509	0.00504831	0.000360637	3.3793592	3.352e-06	0.008414829	0.000819252	4.28e-07	4.15423737326637e-08
"PADE09_028"	"1/14/09"	2009	"Roosevelt"	"Late"	15	215	1	0.65	"good"	NA	0.001200547	0.020781353	0.003927788	0.000138914	2.924374581	1.063e-06	0.005666528	0.000515286	4.25e-07	2.13e-07
"PADE09_029"	"1/14/09"	2009	"Roosevelt"	"Late"	16	164	1	0.42	"good"	NA	0.001347134	0.007713721	0.004269898	0.000196159	3.495487552	5.404e-06	0.005483287	0.000329977	5.27957008453086e-09	1.84e-07
"PADE09_027"	"1/14/09"	2009	"Roosevelt"	"Late"	17	197	1	0.36	"good"	NA	0.001292336	0.005873396	4.89788111974252e-07	0.000221279	3.140005136	2.90230638347566e-09	0.004859817	0.000542258	1.79e-07	4.60981458099559e-08
"PADE09_033"	"2/11/09"	2009	"Roosevelt"	"Late"	16	194	1	0.67	"excellent"	NA	0.001361708	0.018958625	0.004359936	9.0807e-05	3.346884243	1.334e-06	0.005896637	0.00035838	1.91e-07	1.25043931463733e-08
"PADE09_030"	"2/11/09"	2009	"Roosevelt"	"Late"	17	178	1	0.55	"excellent"	NA	0.001254998	0.008697285	0.002161915	8.1585e-05	3.191709416	5.13e-07	0.004462182	0.000304308	7.84242275054566e-09	3.83468456519768e-08
"PADE09_031"	"2/11/09"	2009	"Roosevelt"	"Late"	17	189	1	0.64	"excellent"	NA	0.00140519	0.016147773	0.003292496	0.000135003	3.373847882	3.221e-06	0.006021994	0.00033132	1.72e-07	8.04140771739185e-09
"PADE09_032"	"2/11/09"	2009	"Roosevelt"	"Late"	17	164	1	0.29	"excellent"	NA	0.00567043	0.008848877	0.001622297	0.000210341	3.720780979	1.623e-06	0.007186381	0.000329473	7.61e-07	3.04e-07
"PADE09_034"	"2/11/09"	2009	"Roosevelt"	"Late"	17	195	1	0.59	"excellent"	NA	0.001191302	0.008796208	0.002813265	0.000146658	3.408341365	2.42e-07	0.004902115	0.000370708	2.26308264308609e-08	3.58e-07
"PADE09_035"	"3/16/09"	2009	"Roosevelt"	"Late"	15	199	1	0.67	"excellent"	NA	0.003181727	0.008729484	0.004300921	0.000222776	3.735154706	1.443e-06	0.00529751	0.000368192	5.8e-08	4.052690198645e-08
"PADE09_036"	"3/16/09"	2009	"Roosevelt"	"Late"	16	125	1	0.41	"excellent"	NA	0.001170778	0.007623898	0.00233424	0.000177978	3.438952638	2.075e-06	0.004502254	0.000313131	5.19e-07	4.10993031458929e-08
"PADE09_037"	"3/16/09"	2009	"Roosevelt"	"Late"	16	153	1	0.5	"excellent"	NA	0.001418784	0.018825085	9.6352e-05	0.000204927	3.870807317	2.101e-06	0.006866221	0.000374981	1.57e-07	1.57e-07
"PADE09_038"	"10/20/09"	2009	"Roosevelt"	"Late"	14	215	1	0.45	"good"	NA	0.005671326	0.030827251	6.82307811520994e-07	0.000137408	2.276903958	1.021e-06	0.011259741	0.000384985	2.03546138252132e-08	3.353939387016e-09
"PADE09_040"	"10/20/09"	2009	"Roosevelt"	"Late"	14	219	2	0.78	"good"	NA	0.017267998	0.013587755	1.03738255845825e-06	0.000308413	3.63411617	3.4905835269019e-09	0.01163796	0.000420961	1.96e-07	5.7634619968012e-08
"PADE09_039"	"10/20/09"	2009	"Roosevelt"	"Late"	17	243	2	0.63	"good"	NA	0.009467424	0.038638875	0.003468086	0.000466262	2.378985271	3.047e-06	0.005285849	0.000343479	4.69e-07	2.34e-07
