"bayenv1.likes" "bayenv2.likes" "bayenv3.likes" "bayenv4.likes" "bayenv5.likes"
"cluster1" -21.5565675799307 -21.5510388610408 -23.5951943524935 -17.1832282325725 -17.7664814615194
"cluster2" -39.7776932683929 -39.426622307821 -40.6148314322242 -39.0303819687267 -45.3653913723305
"cluster3" -31.3369973060467 -31.9498536380192 -33.709019773779 -31.749353482996 -35.9267853341538
"cluster4" -40.0347836586076 -38.7016434861528 -41.013667718712 -39.461898663964 -45.0418435519181
"cluster5" -32.2414925152582 -31.413959957859 -33.3622384429749 -33.206237875771 -39.6341539481312
"cluster6" -45.736339941051 -45.1512343894153 -45.7818708121304 -42.4229517524393 -46.9889135490761
"cluster7" -69.5051678195318 -68.9123738062085 -70.1651956026847 -63.6183122673381 -70.6652968979943
"cluster8" -35.6797332899236 -34.6895172912795 -36.4639715350636 -34.096341882484 -37.6177146461001
"cluster9" -48.3608333605783 -45.3621365445646 -49.8763313121502 -45.1948359895033 -52.9716234433899
"cluster10" -73.7642448919132 -74.5206489454368 -74.5681216817923 -67.7529258370811 -76.2394287939948
